ID,Juego,Temporada,Instancia,Equipo A,Goles A,Goles B,Equipo B,Pen. A,Pen. B
1,PES 2,SEM 1,,STAR,1,0,MALVINAS JR,,
2,PES 2,SEM 1,,REAL MAIZ FC,0,2,MALVINAS JR,,
3,PES 2,SEM 1,,XENEIZES FC,0,0,MALVINAS JR,,
4,PES 2,SEM 1,,RETRATO LO RETRO,2,0,MALVINAS JR,,
5,PES 2,SEM 1,,SOY TRONCO FC,0,1,MALVINAS JR,,
6,PES 2,SEM 1,,METALEROS,0,0,MALVINAS JR,,
7,PES 2,SEM 1,,MIRASOL FC,1,1,MALVINAS JR,,
8,PES 2,SEM 1,,MOTILONES HH,1,1,MALVINAS JR,4,3
9,PES 2,SEM 2,8VOS,STAR,1,0,MALVINAS JR,,
10,PES 2,SEM 2,,MOTILONES HH,0,2,MALVINAS JR,,
11,PES 2,SEM 2,,JUAN CARLOS FC,0,2,MALVINAS JR,,
12,PES 2,SEM 2,,METALEROS,2,2,MALVINAS JR,,
13,PES 2,SEM 2,,FARIA FC,1,1,MALVINAS JR,,
14,PES 2,SEM 2,,REAL MAIZ FC,1,2,MALVINAS JR,,
15,PES 2,SEM 2,,LA BOLSA FC,1,1,MALVINAS JR,,
16,PES 2,SEM 2,,AC ANGELES ROJOS,1,2,MALVINAS JR,,
17,PES 2,SEM 2,,SARNOSAS FC,0,2,MALVINAS JR,,
18,PES 2,SEM 3,16VOS,SARNOSAS FC,1,1,MALVINAS JR,3,1
19,PES 2,SEM 3,,RETRATO LO RETRO,0,0,MALVINAS JR,,
20,PES 2,SEM 3,,VENDEHUESOS FC,1,0,MALVINAS JR,,
21,PES 2,SEM 3,,SS FACCIO,1,2,MALVINAS JR,,
22,PES 2,SEM 3,,AL ASATIR,0,1,MALVINAS JR,,
23,PES 2,SEM 3,,JUAN CARLOS FC,2,0,MALVINAS JR,,
24,PES 2,SEM 3,,LOS NHUPIS,3,2,MALVINAS JR,,
25,PES 2,SEM 3,,SOY TRONCO FC,0,1,MALVINAS JR,,
26,PES 2,SEM 3,,INDEP. CORDERO,2,2,MALVINAS JR,,
27,PES 2,SEM 4,16VOS,ATL. JUNIOR YOSHUA,0,0,MALVINAS JR,4,3
28,PES 2,SEM 4,,FENOMENOS FC,0,1,MALVINAS JR,,
29,PES 2,SEM 4,,AC ANGELES ROJOS,0,2,MALVINAS JR,,
30,PES 2,SEM 4,,AL ASATIR,2,1,MALVINAS JR,,
31,PES 2,SEM 4,,LA BOLSA FC,1,1,MALVINAS JR,,
32,PES 2,SEM 4,,CENTINELA LIMA,1,2,MALVINAS JR,,
33,PES 2,SEM 4,,REAL A OCANHA,1,1,MALVINAS JR,,
34,PES 2,SEM 4,,RETRATO LO RETRO,2,1,MALVINAS JR,,
35,PES 2,SEM 4,,FARIA FC,0,2,MALVINAS JR,,
36,PES 2,SEM 5,16VOS,STAR,2,0,MALVINAS JR,,
37,PES 2,SEM 5,,PYRAMIDS,0,0,MALVINAS JR,,
38,PES 2,SEM 5,,ESCARLATAS FC,1,0,MALVINAS JR,,
39,PES 2,SEM 5,,LA BOLSA FC,2,0,MALVINAS JR,,
40,PES 2,SEM 5,,MOTILONES HH,0,0,MALVINAS JR,,
41,PES 2,SEM 5,,LA TOCATA AS,1,2,MALVINAS JR,,
42,PES 2,SEM 5,,GUARANI AF,0,3,MALVINAS JR,,
43,PES 2,SEM 5,,XENEIZES FC,2,0,MALVINAS JR,,
44,PES 2,SEM 6,1RA DIV.,XENEIZES FC,0,0,MALVINAS JR,,
45,PES 2,SEM 6,1RA DIV.,D. SIESTA,1,1,MALVINAS JR,,
46,PES 2,SEM 6,1RA DIV.,TROTA MUNDOS FC,1,1,MALVINAS JR,,
47,PES 2,SEM 6,1RA DIV.,MOTILONES HH,3,0,MALVINAS JR,,
48,PES 2,SEM 6,1RA DIV.,STAR,0,0,MALVINAS JR,,
49,PES 2,SEM 6,1RA DIV.,VENDEHUESOS FC,0,0,MALVINAS JR,,
50,PES 2,SEM 6,1RA DIV.,FENOMENOS FC,1,0,MALVINAS JR,,
51,PES 2,7MA ED.,,RETRATO LO RETRO,1,1,MALVINAS JR,,
52,PES 2,7MA ED.,,NEW GRANADE,3,0,MALVINAS JR,,
53,PES 2,7MA ED.,,EXPRESO ROJO,2,0,MALVINAS JR,,
54,PES 2,7MA ED.,,AL ASATIR,0,1,MALVINAS JR,,
55,PES 2,7MA ED.,,YUNAITED FC,0,1,MALVINAS JR,,
56,PES 2,7MA ED.,,SARNOSAS FC,1,1,MALVINAS JR,,
57,PES 4,T1,COPA TSC - FASE GRUPOS,D. SIESTA,0,2,MALVINAS JR,,
58,PES 4,T1,COPA TSC - FASE GRUPOS,AC. ANGELES ROJOS,1,0,MALVINAS JR,,
59,PES 4,T1,2DA DIV.,ESCARLATAS FC,0,1,MALVINAS JR,,
60,PES 4,T1,2DA DIV.,CHAPULINES FC,1,1,MALVINAS JR,,
61,PES 4,T1,2DA DIV.,FC PREHISTORICOS,0,0,MALVINAS JR,,
62,PES 4,T1,2DA DIV,REDS LFC,0,0,MALVINAS JR,,
63,PES 4,T1,2DA DIV.,XENEIZES FC,0,0,MALVINAS JR,,
64,PES 4,T1,2DA DIV.,SOLEB CS FC,2,0,MALVINAS JR,,
65,PES 4,T1,2DA DIV.,CESAR FC,0,1,MALVINAS JR,,
66,PES 4,T1,PLAY OFF FASE 1 IDA,BLUES FC,1,2,MALVINAS JR,,
67,PES 4,T1,COPA TSC 8VOS,CENTINELA LIMA,1,0,MALVINAS JR,,
68,PES 4,T1,COPA TSC - FASE GRUPOS,SAN MARTIN DE MENDOZA,1,2,MALVINAS JR,,
69,PES 4,T1,PLAY OFF FASE 1 VUELTA,BLUES FC,1,0,MALVINAS JR,,
70,PES 2,SEM 1,,REAL MAIZ FC,2,3,STAR,,
71,PES 2,SEM 1,,XENEIZES FC,1,3,STAR,,
72,PES 2,SEM 1,,RETRATO LO RETRO,0,0,STAR,,
73,PES 2,SEM 1,,SOY TRONCO FC,1,1,STAR,,
74,PES 2,SEM 1,,METALEROS,2,1,STAR,,
75,PES 2,SEM 1,,MIRASOL FC,0,0,STAR,,
76,PES 2,SEM 1,,GANEN O BAN,0,1,STAR,,
77,PES 2,SEM 1,,MOTILONES HH,2,0,STAR,,
78,PES 2,SEM 2,4TOS,PYRAMIDS,1,0,STAR,,
79,PES 2,SEM 2,,RETRATO LO RETRO,1,1,STAR,,
80,PES 2,SEM 2,,INDEP. CORDERO,0,4,STAR,,
81,PES 2,SEM 2,,NEW GRANADE,1,0,STAR,,
82,PES 2,SEM 2,,GUERREROS Z,1,4,STAR,,
83,PES 2,SEM 2,,LOS NHUPIS,2,1,STAR,,
84,PES 2,SEM 2,,EXPRESO ROJO,2,1,STAR,,
85,PES 2,SEM 2,,COMANDO THRASH,2,0,STAR,,
86,PES 2,SEM 2,,REAL A OCANHA,0,1,STAR,,
87,PES 2,SEM 2,16VOS,CENTINELA LIMA,1,3,STAR,,
88,PES 2,SEM 3,16VOS,PARAGUAYOS FC,2,1,STAR,,
89,PES 2,SEM 3,,FC PROMETEUS,1,1,STAR,,
90,PES 2,SEM 3,,FARIA FC,2,2,STAR,,
91,PES 2,SEM 3,,MOTILONES HH,1,1,STAR,,
92,PES 2,SEM 3,,GANEN O BAN,0,2,STAR,,
93,PES 2,SEM 3,,METALEROS,2,2,STAR,,
94,PES 2,SEM 3,,U DE CHILE,1,3,STAR,,
95,PES 2,SEM 3,,REAL MAIZ FC,2,1,STAR,,
96,PES 2,SEM 3,,LA BOLSA FC,0,0,STAR,,
97,PES 2,SEM 4,8VOS,ATL. JUNIOR YOSHUA,0,2,STAR,,
98,PES 2,SEM 4,,SARNOSAS FC,1,3,STAR,,
99,PES 2,SEM 4,,FC PROMETEUS,1,1,STAR,,
100,PES 2,SEM 4,,SS FACCIO,1,2,STAR,,
101,PES 2,SEM 4,,PARAGUAYOS FC,1,1,STAR,,
102,PES 2,SEM 4,,D. SIESTA,1,2,STAR,,
