#,Equipo,Estado,Nombres Históricos
1,MALVINAS JR,ACTIVO,-
2,STAR,INACTIVO,LIGA MX STAR
3,REAL MAIZ FC,INACTIVO,-
4,XENEIZES FC,ACTIVO,-
5,RETRATO LO RETRO,ACTIVO,RETRO RACING → CAFÉ ACADEMIA → ACADEMIA
6,SOY TRONCO FC,INACTIVO,-
7,METALEROS,INACTIVO,-
8,MIRASOL FC,INACTIVO,-
9,GANEN O BAN,ACTIVO,-
10,LA BOLSA FC,INACTIVO,-
11,MOTILONES HH,INACTIVO,MOTILONES FC
12,AC DORMIDOS,INACTIVO,-
13,EXPRESO ROJO,INACTIVO,-
14,COMANDO THRASH,INACTIVO,-
15,CENTINELA LIMA,ACTIVO,-
16,PYRAMIDS,ACTIVO,AT. DE LA CRUZ
17,AC ANGELES ROJOS,ACTIVO,DIABLOS ROJOS
18,FC PROMETEUS,ACTIVO,-
19,NEW GRANADE,INACTIVO,-
20,U DE CHILE,INACTIVO,-
21,INDEP. CORDERO,ACTIVO,-
22,WAKANDA FC,ACTIVO,-
23,GUERREROS Z,INACTIVO,-
24,PARAGUAYOS FC,INACTIVO,-
25,VENDEHUESOS FC,INACTIVO,-
26,FENOMENOS FC,ACTIVO,LOS FENOMENOS
27,D. SIESTA,ACTIVO,-
28,SARNOSAS FC,ACTIVO,-
29,ESCARLATAS FC,ACTIVO,-
30,SS FACCIO,INACTIVO,-
31,JUAN CARLOS FC,INACTIVO,-
32,LOS NHUPIS,ACTIVO,GRANATE
33,REAL A OCANHA,INACTIVO,-
34,AL ASATIR,INACTIVO,-
35,FARIA FC,INACTIVO,-
36,ATL. JUNIOR YOSHUA,ACTIVO,JUNIOR
37,GUARANI AF,INACTIVO,-
38,TROTA MUNDOS FC,ACTIVO,-
39,ATL. LECHUGUERO,ACTIVO,-
40,LA TOCATA AS,ACTIVO,-
41,FC PREHISTORICOS,ACTIVO,FC INDORAPTOR
42,YUNAITED FC,ACTIVO,-
43,CHAPULINES FC,ACTIVO,MARIKAS FC
44,WOLFES,INACTIVO,-
45,BULLDOGS FC,ACTIVO,-
46,NEOHALCONES SOLARES FC,ACTIVO,CF MOMIAS DE AMERICA → HALCONES SOLARES FC
47,REDS LFC,ACTIVO,LEEDS DE AMSTERDAM → ONS ORANJE FC
48,CARBONEROS FC,INACTIVO,FC MANYA
49,CD SAN JUAN,INACTIVO,-
50,JAOZ FC,INACTIVO,-
51,SHOHOKU,INACTIVO,-
52,COSA NOSTRA,INACTIVO,-
53,CESAR FC,ACTIVO,LOS COMANDANTES → COMANDANTES DE ESTR.
54,RIVER PLATE 96,ACTIVO,-
55,ALBERDI 23,ACTIVO,-
56,BOCA JR 98,INACTIVO,-
57,SAN MARTIN DE MENDOZA,ACTIVO,-
58,SOLEB CS FC,ACTIVO,-
59,BLUES FC,ACTIVO,-
60,FK TUPADRE,ACTIVO,-
